variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,result_dir,history,horizon,smoke,city,station_id,independent_recomputed
trad_persistence,trad_persistence,deterministic,completed,0,,4.150002496317029e-06,0.0018687720003072,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.08705999702215195,0.29505931102432936,0.13578179478645325,21.987735748291016,10.118420600891113,15.181366920471191,,,experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,2.800006768666208e-06,0.0016480949998367,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.5131192207336426,1.2300891108914194,0.8775647878646851,91.66588592529297,65.39588165283203,77.234130859375,,,experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
trad_climatology,trad_climatology,deterministic,completed,0,,0.0070454840024467,0.0016724860033718,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9818383455276489,0.990877563338503,0.749829888343811,73.83991241455078,55.877113342285156,71.48023986816406,,,experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
trad_ar,trad_ar,deterministic,completed,0,,0.0078684769978281,0.0018144100031349,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.08758299052715302,0.2959442355024896,0.13489387929439545,22.053680419921875,10.052254676818848,16.66742706298828,,,experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
trad_ridge,trad_ridge,deterministic,completed,0,,0.010778587005916,0.0017725890065776,test,0,0,A,not_applicable,not_applicable,1,1.0,predictions/trad_ridge.npz,0.08740349858999252,0.29564082700126604,0.13490359485149384,22.031068801879883,10.052977561950684,16.652677536010742,,,experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,0.0662758039979962,0.0022928030084585,test,0,0,A,not_applicable,not_applicable,18,10.0,predictions/trad_spatial_linear.npz,0.08237137645483017,0.2870041401353475,0.15044642984867096,21.387468338012695,11.211224555969238,20.79939079284668,,,experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
center_mlp_default,center_mlp,2047,completed,1,0.2012525051832199,0.4216012230026535,0.0128921750001609,test,514001,514001,B,default,default,1,,predictions/center_mlp_default_seed2047.npz,0.12768229842185974,0.35732659909648445,0.21439547836780548,26.62787628173828,15.976690292358398,27.848302841186523,[9],"{""layers"": [500, 500, 500]}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
center_gru_default,center_gru,2047,completed,2,0.2737873494625091,0.828686906999792,0.0336069250042783,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed2047.npz,0.18456342816352844,0.42960845913870044,0.2557617723941803,32.01429748535156,19.059295654296875,29.787704467773438,[9],"{""hidden_size"": 100}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
center_lstm_default,center_lstm,2047,completed,2,0.3492855429649353,0.9650751660083188,0.0359503799991216,test,41301,41301,B,default,default,1,,predictions/center_lstm_default_seed2047.npz,0.2195340096950531,0.4685445653244236,0.29258009791374207,34.915809631347656,21.80298614501953,34.543277740478516,[9],"{""hidden_size"": 100}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
center_tcn_default,center_tcn,2047,completed,2,1.128133773803711,13.306378798006335,0.6456552150048083,test,66676,66676,B,default,default,1,,predictions/center_tcn_default_seed2047.npz,0.6220046877861023,0.7886727380771459,0.5610098242759705,58.771663665771484,41.80629348754883,56.02617263793945,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
center_resnet_default,center_resnet,2047,completed,2,0.1099857613444328,6.988914003988612,0.2762506019935244,test,478337,478337,B,default,default,1,,predictions/center_resnet_default_seed2047.npz,0.08749350905418396,0.29579301725054963,0.16225700080394745,22.04241180419922,12.091346740722656,21.011079788208008,[9],"{""library_fixed"": true}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
center_tst_default,center_tst,2047,completed,1,0.3226189017295837,13.501140090986157,0.495918108994374,test,402305,402305,B,default,default,1,,predictions/center_tst_default_seed2047.npz,0.19223976135253906,0.4384515496067257,0.2788269519805908,32.673282623291016,20.77810287475586,50.748294830322266,[9],"{""d_ff"": 256, ""d_model"": 128, ""n_heads"": 16, ""n_layers"": 3}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2047,completed,2,3.5394842624664307,2.18356078400393,0.0826095770025858,test,17287,17284,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2047.npz,1.7526791095733643,1.3238878765112112,1.047351360321045,98.65574645996094,78.04832458496094,93.16317749023438,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
